"Sample","sc-enriched","Ca A1","Ca B","Ca A2"
"LNEN198_TU",0.0884758958875022,0.67965880750548,0.196413239710114,0.0354520568969037
"LNEN199_TU",0.107176354977824,0.0382908588453055,0,0.854532786176871
"LNEN201_TU",0.145343582381771,0.470040589022875,0.384615828595354,0
"LNEN202_TU",0.150801551246224,0.0336021780751552,0.0260154416193004,0.789580829059321
"LNEN203_TU",0.175430727567207,0.0873516401343842,0.125919149284625,0.611298483013784
"LNEN204_TU",0.106975194235154,0.0584169982569975,0.07742787530815,0.757179932199698
"LNEN205_TU",0.273286660640012,0.667544691219748,0.0298496201228704,0.0293190280173695
"LNEN206_TU",0.962901390807887,0,0.0161484430050595,0.0209501661870536
"LNEN207_TU",0.00760514591944861,0.757644605721939,0.0936048680471519,0.141145380311461
"LNEN208_TU",0.0782522464563511,0.816354146121141,0.0574162921716576,0.0479773152508499
"LNEN209_TU",0.133240309727691,0.0296416297348322,0.837118060537477,0
"LNEN210_TU",0,0.783593472417762,0.216406527582238,0
"LNEN211_TU",0.222308005627214,0.0538558467905327,0.00635819244962763,0.717477955132625
"LNEN212_TU",0.305603566247445,0.570304577767698,0.0968442536659687,0.0272476023188888
"LNEN213_TU",0.240168167659279,0.0149325658453423,0,0.744899266495379
"LNEN214_TU",0.34158471698691,0.269917519027025,0.388497763986065,0
"LNEN215_TU",0,0.879945108280658,0.120054891719342,0
"LNEN216_TU",0.316652107654422,0.623457906221645,0.0556282989727935,0.00426168715113945
"LNEN217_TU",0.728605650054805,0.0517400895026728,0,0.219654260442521
"LNEN218_TU",0.298355155605091,0.0523938076176589,0.649251036777251,0
"LNEN219_TU",0.302545686158679,0.643239749098334,0.0542145647429868,0
"LNEN220_TU",0.305366662702434,0.634182779491272,0.0451700858846671,0.0152804719216265
"LNEN221_TU",0,0.889391901397485,0.0518516632003166,0.0587564354021985
"LNEN223_TU",0.195772840479778,0.72316589308019,0.0327492968506497,0.0483119695893824
"LNEN224_TU",0.159936891958776,0.11013439172394,0.0691789132588862,0.660749803058398
"LNEN225_TU",0.0599108789048912,0.513234703242,0.125878442841049,0.30097597501206
"LNEN226_TU",0.113777708011974,0.0172258603693418,0,0.868996431618684
"LNEN227_TU",0.111661656425538,0.0865182323661624,0.0383192723872948,0.763500838821005
"LNEN228_TU",0.254123131980805,0.0388092442173774,0.0308614572679991,0.676206166533818
"LNEN229_TU",0.20251637163963,0.00701585131218943,0.79046777704818,0
"LNEN230_TU",0.255921422562402,0.140283260011845,0.0308804530001194,0.572914864425634
"LNEN231_TU",0.288902214454014,0.633484421063609,0.0776133644823767,0
"LNEN232_TU",0.111104726126212,0.654914212396478,0.0311138983514711,0.202867163125839
"LNEN233_TU",0.175652462302075,0.735572102487378,0.0756112716318627,0.0131641635786847
"LNEN234_TU",0.2532944826794,0.660280562336974,0.0685160184245735,0.0179089365590524
"LNEN235_TU",0.182812184647468,0,0.0861521114907889,0.731035703861743
"LNEN236_TU",0.151639409629939,0.724683063310073,0.00950547210930711,0.11417205495068
