"Sample","Factor1","Factor2","Factor5"
"LNEN244_TU",-0.164969945848866,1.20396882533719,-0.674235050769081
"LNEN245_TU",-0.0966754570564037,1.88025966473541,0.440343009763973
"LNEN246_TU",0.579711314546006,2.40249549072933,1.40097944455264
"LNEN247_TU",-0.0807226011344796,2.07813334014252,0.26608394904478
"LNEN248_TU",-0.275840982733288,1.74801164747696,0.031002449026279
"LNEN249_TU",-1.74271817707591,-1.08870605661751,-0.309896050157917
"LNEN250_TU",0.376275811448499,1.08299340369858,-0.450428874083121
"LNEN251_TU1",3.13439096886511,-0.882679491599566,1.02136002044866
"LNEN252_TU",3.17955894758589,-1.084454347961,0.55558085347351
"LNEN253_TU",0.113572727809675,0.924152991502703,-1.06611229579003
"LNEN255_TU",-1.54435923857893,-1.27585119030378,0.627660653518632
"LNEN258_TU",2.82936265207809,-1.11960824748708,0.488790808976291
"LNEN263_TU",-0.125850724150932,2.16234419611342,0.626545680476921
"LNEN268_TU",0.0673443268593292,2.23800825765475,0.400665062766368
"LNEN269_TU",-2.03164797935681,-1.24881415067778,0.0674509672926517
"LNEN270_TU",0.0045356463333197,2.05511046157758,0.138327259247707
"LNEN272_TU",-2.10640030516778,-1.0533480370683,0.926603413843589
"LNEN273_TU",-1.94789358222999,-0.599766117750326,0.361814418196605
"LNEN274_TU",2.59061776664341,-0.734114379303378,-0.550566151877574
"LNEN276_TU",-2.09335232963404,-1.24889721937698,-0.0506544964654571
"LNEN277_TU",1.99887647002415,-0.781399393442835,-0.378726634315111
"LNEN278s1_TU1",0.416575388436616,-0.693959658542891,-5.0616442434947
"LNET10T",0.361088655894954,-0.171074577577531,-2.93366897518562
"LNET13T",-1.70964696603438,-0.713661270214358,0.851048796408753
"LNET14T",-1.45615733610587,-0.910237048537703,-0.842565037227521
"LNET16T",-0.644981859447332,-0.800065220155954,-1.59508823808703
"LNET19T",0.00226643771935177,1.66609013805865,-0.976442061038201
"LNET2T",0.486533971381117,0.00208455494645405,-0.000471858234593421
"LNET5T",-2.0371935661029,-1.26193732543092,0.320512329233715
"LNET6T",-2.1523037596371,-0.891687579409591,0.655773834082233
"Lu_Aty2",0.817723372272271,-0.572595871798867,-4.65246393808519
"S00016",-2.64338700786773,-1.22259494683032,1.14522041555543
"S00076",-1.35603213788534,-1.09159244305627,-0.374501423273215
"S00089",1.16595332259257,-1.57808767629679,0.551359272138171
"S00094",0.460347199024419,1.80295340422387,0.937454609240518
"S00118",1.07286650778352,-1.02864552179908,0.227193455676102
"S00128",0.226052982096794,-0.806946776682858,0.510230454149575
"S00515",-0.127231779183755,1.72529027811303,0.124215863872515
"S00516",-0.172128064999405,2.11333781882294,0.143741753787933
"S00520",2.98841580030215,-0.469113774546976,0.238888885033107
"S00716_B",3.41005174360851,-0.688923034640733,0.37295111821338
"S00858",0.213647001978572,1.74080475628355,0.762326334681791
"S01060_B_TU",-2.53128289473123,-0.867081000669255,1.39454795689857
"S01103",0.141580874217135,1.92147725080216,0.820435689893065
"S01202",3.23175757460239,-0.691299415056629,1.10795974917659
"S01493",2.54955343025022,-0.142465968087411,0.607355325538311
"S01501",-2.40965056983733,-1.20714712907026,0.203312936947925
"S01502",-1.8514786533148,-1.15035440273485,0.204024562513143
"S01504_B_TU",-1.7513578295263,-1.2631146387865,-0.189015158819967
"S01510",2.97778141200976,-0.89289424195475,1.15968950803794
"S01513",0.318864919625877,-0.610940823581031,-2.43399388339523
"S01515",-0.796782372397211,-0.289216512595251,-0.420365941846323
"S01519",-2.10232236423297,-1.0490705694255,1.25235795856912
"S01520",-1.61763242456991,-0.823650441940847,-0.0202360528444542
"S01521",-0.247274859811788,2.57453246653788,0.413758246742237
"S01522",-1.1223154900347,-1.32588512594774,-1.13835600145836
"S01526",-0.238433279755371,2.27707732617764,0.430540242307942
"S01528",-2.58646022301565,-1.12882618972675,1.16656044022
"S01529",0.0635188131114059,2.20077991403427,1.15700117475152
"S01531",-0.127699625390863,2.29519557633289,0.132187851075027
"S01532",-0.0727319572724375,2.2229382142958,0.825693055452389
"S01536",-2.20673207246321,-0.793563931873006,1.10775861698572
"S01537",0.074011845420962,2.07525429605462,0.468243474792779
"S01538",-0.00870573388832637,2.03171070219216,0.183415828262968
"S01539",-0.0826912105368287,1.50124044896372,0.742860331314126
"S01540",-2.15344999515606,-0.75804517004196,0.219491517871012
"S01541",0.175208394872926,1.2698665578569,-1.2109626959354
