sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
LNEN145_TU	0.0700969077458161	0.0292475731127837	0.0742492992795211	0.826406219861879	Ca A2
LNEN146_TU	0.194702631926254	0.703325672235124	0.0723366298784222	0.0296350659601991	Ca A1
LNEN147_TU	0.14691495948923	0.784116410033356	0.0689686304774143	0	Ca A1
LNEN148_TU	0.0492616035662917	0.817283195707715	0.0744362769299094	0.0590189237960841	Ca A1
LNEN151_TU3	0.227725229182842	0.00571806958726648	0.0555345366395232	0.711022164590368	Ca A2
LNEN152_TU	0.280535668413703	0.0354272933831505	0.0319119210527538	0.652125117150393	Ca A2
LNEN153_TU6	0.117336001352227	0.0574748326210496	0.771479443071982	0.0537097229547413	Ca B
LNEN154_TU3	0.217004533611531	0.0484219429246583	0.0110245010214217	0.723549022442389	Ca A2
LNEN155_TU7	0.0820645265087163	0.00945670821860107	0.0277296635423666	0.880749101730316	Ca A2
LNEN156_TU	0.300212622052163	0.584134157493131	0.0109295805227668	0.104723639931939	Ca A1
LNEN157_TU2	0.109225515948433	0.712143962640282	0	0.178630521411285	Ca A1
LNEN158_TU	0	0.0948660738896018	0.905133926110398	0	Ca B
LNEN159_TU2	0	0.0742222506626002	0.9257777493374	0	Ca B
LNEN161_TU	0.0981043439626089	0.116941357474218	0.0642379882523167	0.720716310310857	Ca A2
LNEN162_TU	0.192275825379522	0.66503470985275	0.0207027572135107	0.121986707554216	Ca A1
LNEN163_TU	0.200919776199497	0.0722763104119848	0.0377333209418217	0.689070592446696	Ca A2
LNEN164_TU2	0.0171562251632305	0.0850463890350583	0.897797385801711	0	Ca B
LNEN165_TU2	0.0649602865024993	0.0728807851740066	0.0119764005278472	0.850182527795647	Ca A2
LNEN166_TU2	0.178579514136559	0.055844828434675	0	0.765575657428766	Ca A2
LNEN167_TU2	0.304553139695334	0.0579282353238161	0.63751862498085	0	Ca B
LNEN168_TU1	0.0653725609890226	0.00184671623915237	0.0603210789977058	0.872459643774119	Ca A2
LNEN169_TU1	0.00975788579759583	0.990242114202404	0	0	Ca A1
LNEN170_TU4	0.129230732925563	0.326577193751828	0.504841557361994	0.0393505159606146	Ca B
LNEN171_TU1_R1	0	0.852526415566479	0.05549710836381	0.0919764760697111	Ca A1
LNEN172_TU	0.0281559332109513	0.0502705918504408	0.128142763704871	0.793430711233736	Ca A2
